Category,Test_Name,PHMCOLD_high,PHMHOT_high,CLASSCOLD_high,CLASSHOT_high,ALL_high,PHMCOLD_low,PHMHOT_low,CLASSCOLD_low,CLASSHOT_low,ALL_low
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_CPU_9,1.22148478,0.9509782,1.22148478,0.9409782,1.22148478,0.025,0.050,0.025,0.050,0.025
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_CPU_9_P,0.89978962,0.5508463,0.89978962,0.5408463,0.89978962,0.300,0.1308457,0.300,0.1308457,0.1308457
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_1,1.39104679,1.40104679,1.39104679,1.39104679,1.39104679,0.37756121,0.37756121,0.37756121,0.37756121,0.37756121
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_10,0.90243138,0.74134608,0.90243138,0.73134608,0.90243138,0.72377462,0.65201592,0.72377462,0.65201592,0.65201592
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_11,0.78789556,0.72705698,0.78789556,0.71705698,0.78789556,0.55232244,0.51375502,0.55232244,0.51375502,0.51375502
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_12,0.85036509,0.70708023,0.85036509,0.69708023,0.85036509,0.81612291,0.64058177,0.81612291,0.64058177,0.64058177
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_13,0.98789463,0.68431695,0.98789463,0.67431695,0.98789463,0.54687337,0.46398905,0.54687337,0.46398905,0.46398905
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_13_P,0.99765728,0.69079479,0.99765728,0.68079479,0.99765728,0.53573672,0.46082921,0.53573672,0.46082921,0.46082921
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_14,0.89789059,0.73902629,0.89789059,0.72902629,0.89789059,0.72449941,0.65139771,0.72449941,0.65139771,0.65139771
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_15_2mA,1.20659701,1.50399649,0.97452982,0.86213997,1.20659701,0.52058299,0.1,0.46927511,0.1,0.1
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_16,0.52295741,0.43261283,0.52295741,0.42261283,0.52295741,0.24188859,0.20299717,0.24188859,0.20299717,0.20299717
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_16_P,0.50059174,0.40923375,0.50059174,0.39923375,0.50059174,0.25922026,0.22443025,0.25922026,0.22443025,0.22443025
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_17,0.36865859,0.29449188,0.36865859,0.28449188,0.36865859,0.24104541,0.15801212,0.24104541,0.15801212,0.15801212
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_18,1.5,1.28447845,0.97717948,1.27447845,1.5,0.1,0.1,0.1,0.31497099,0.1
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_19,0.38886727,0.31704936,0.38886727,0.335054,0.38886727,0.25860073,0.18569464,0.25860073,0.18569464,0.18569464
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_20,0.96216752,0.78218756,0.96216752,0.77218756,0.96216752,0.1,0.1,0.770,0.680,0.1
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_21,1.7,1.46547476,1.7,1.45547476,1.7,0.5,0.5,0.5,0.5,0.5
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_22,1.1985099,1.1101333,1.1985099,1.1001333,1.1985099,1.1465301,1.0436467,1.1465301,1.0436467,1.0436467
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_23,0.7988259,0.6675139,0.7988259,0.6575139,0.7988259,0.1767061,0.1901501,0.1767061,0.1901501,0.1767061
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_23_P,0.5797221,0.51394265,0.5797221,0.50394265,0.5797221,0.2772499,0.21405935,0.2772499,0.21405935,0.21405935
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_24,0.49994994,0.47080307,0.49994994,0.46080307,0.49994994,0.32700006,0.26390293,0.32700006,0.26390293,0.26390293
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_25,1.46988955,1.5,0.95235795,0.90978032,1.46988955,0.21388045,0.2,0.21388045,0.2,0.2
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_26,1.22600313,0.79799346,1.22600313,0.78799346,1.22600313,0.11669487,0.27752854,0.11669487,0.27752854,0.11669487
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_26_P,0.97774678,0.72276634,0.97774678,0.71276634,0.97774678,0.34122322,0.32868366,0.34122322,0.32868366,0.32868366
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_2_A,1.31176293,1.22406238,1.31176293,1.21406238,1.31176293,0.900,0.900,0.900,0.900,0.900
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_3,1.07476237,0.98008386,1.07476237,0.97008386,1.07476237,1.03487763,0.92498214,1.03487763,0.92498214,0.92498214
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_4,0.955563,0.78714685,0.955563,0.77714685,0.955563,0.87572153,0.73034515,0.87572153,0.73034515,0.73034515
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_5,1.003682,0.818923,1.003682,0.808923,1.003682,0.79361843,0.67059215,0.79361843,0.67059215,0.67059215
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_6,0.85358059,0.7127852,0.85358059,0.7027852,0.85358059,0.81622741,0.6585668,0.81622741,0.6585668,0.6585668
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_7,0.7900323,0.72999141,0.7900323,0.71999141,0.7900323,0.5521317,0.51383459,0.5521317,0.51383459,0.51383459
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_8,1.5,1.3143556,1.5,1.3043556,1.5,0.1,0.1,0.27496873,0.27199659,0.1
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_8_p,1.5,1.27987448,1.5,1.26987448,1.5,0.1,0.1,0.33440795,0.29822458,0.1
UPPERDIODE,SHOPS_X_X_X_START_X_X_X_X_UPPERDIODE_GROUP_PCH_9,1.12665186,0.91915685,1.12665186,0.90915685,1.12665186,0.806086,0.69282515,0.806086,0.69282515,0.69282515
