SourceLot,Part Type,Quantity,Operation,EngID,HRI / MRV,Unit test time,Retest rate,MIR,VPO
PTPB5TPI501,43 4PLH5V E B,70,6248,AF,,500,100,2566692,P551195CR
PTPB5TPI206,43 4PLH2V E B,46,6248,AF,,500,100,2558258,P551196CR
